Numer markera;LISTA KONFERENCJI (DO MAP.CONFERENCES.LIFE);OBSZAR (FILTROWANIE);link do programu konferencji (ang);KRAJ;LOKALIZACJA;REGION;LOKALIZACJA (WSPÓŁRZĘNE);STRONA INTERNETOWA KONFERENCJE
;;;;Poland;Warsaw;;52.2765363470278, 21.104242205726496;
;;;;Portugal;Lisbon;;38.722146860483214, -9.151575011839189;
;;;;Qatar;Doha;;25.31778553533908, 51.78683712565702;
;;;;Romania;Bucharest;;44.427864625738756, 26.092105721283808;
;;;;Russia;Moscow;;55.89734604689641, 37.69501024029526;
;;;;Rwanda;Kigali;;-1.9550614185605177, 30.06456935198102;
;;;;Saint Kitts and Nevis;Basseterre;;17.302684770815425, -62.718954493620664;
;;;;Saint Lucia;Castries;;14.009957889505321, -60.987715876908155;
;;;;Saint Vincent and the Grenadines;Kingstown;;13.159955168593847, -61.22551918445204;
;;;;Samoa;Apia;;-13.851743162224395, -171.75098942869468;
;;;;San Marino;San Marino;;43.93420381312714, 12.446701516211403;
;;;;Sao Tome and Principe;São Tomé;;0.3297909897597644, 6.7301191707612595;
;;;;Saudi Arabia;Riyadh;;24.723979757583187, 46.677675928548354;
;;;;Senegal;Dakar;;14.715330786239116, -17.466514410946207;
;;;;Serbia;Belgrade;;44.97989021028155, 20.310664083463802;
;;;;Seychelles;Victoria;;-4.619017954484153, 55.45148605149779;
;;;;Sierra Leone;Freetown;;8.464695536686643, -13.232007761518085;
;;;;Singapore;Singapore;;1.3510649799582104, 103.85522506383998;
;;;;Slovakia;Bratislava;;48.15828847195452, 17.19490858553205;
;;;;Slovenia;Ljubljana;;46.12248273150027, 14.555612057303538;
;;;;Solomon Islands;Honiara;;-9.445704530846976, 159.973435728944;
;;;;Somalia;Mogadishu;;2.156280206348081, 45.24602791177658;
;;;;South Africa;Pretoria (administrative),;;-25.70374833589389, 28.184564587126214;
;;;;South Africa;Cape Town (legislative),;;-33.87142337564512, 18.4680244667469;
;;;;South Africa;Bloemfontein (judicial);;-29.080609063019896, 26.154468555701868;
;;;;South Korea;Seoul;;37.86976575840349, 127.08424228889353;
;;;;South Sudan;Juba;;4.861029880360628, 31.573753158129083;
;;;;Spain;Madrid;;40.443211345609, -3.650206261353362;
;;;;Sri Lanka;Sri Jayawardenepura Kotte;;6.895487648679695, 79.89973350912365;
;;;;Sudan;Khartoum;;15.590629122574232, 32.50892364520161;
;;;;Suriname;Paramaribo;;5.853101948045302, -55.204285415261644;
;;;;Sweden;Stockholm;;59.34658815562919, 18.117660379095923;
;;;;Switzerland;Bern;;47.00193126462096, 7.358952480296864;
;;;;Syria;Damascus;;33.62695836289101, 36.21667105725679;
;;;;Taiwan;Taipei;;25.03119809310018, 121.54827583497966;
;;;;Tajikistan;Dushanbe;;38.56452446592342, 68.78501186835757;
;;;;Tanzania;Dodoma;;-6.161337597736341, 35.748771516921174;
;;;;Thailand;Bangkok;;14.019592775414608, 100.57103606328955;
;;;;Timor-Leste;Dili;;-8.558451777390905, 125.5594546721633;
;;;;Togo;Lomé;;6.12983703471684, 1.3631417739406075;
;;;;Tonga;Nukuʻalofa;;-21.13893512651665, -175.20705237713554;
;;;;Trinidad and Tobago;Port of Spain;;10.661602943312799, -61.50864886861943;
;;;;Tunisia;Tunis;;36.9355242043196, 10.221101054137485;
;;;;Turkey;Ankara;;39.93597883050037, 32.86970504388923;
;;;;Turkmenistan;Ashgabat;;37.958793536879554, 58.30726638218002;
;;;;Tuvalu;Funafuti;;-8.514092351284939, 179.19567578069484;
;;;;Uganda;Kampala;;0.3996702590831688, 32.628649597172924;
;;;;Ukraine;Kyiv (also known as Kiev);;50.50537133585363, 30.557467188928086;
;;;;United Arab Emirates;Abu Dhabi;;24.540504282223235, 54.389347090687096;
;;;;United Kingdom;London;;51.52694083042187, -0.07210818531056566;
;;;;United States of America;Washington, D.C.;;38.92992236237367, -77.10136139172819;
;;;;Uruguay;Montevideo;;-34.874494402553566, -56.177677277404435;
;;;;Uzbekistan;Tashkent;;41.300843177247934, 69.25292002050541;
;;;;Vanuatu;Port Vila;;-17.73274993365288, 168.32796968639735;
;;;;Vatican City (Holy See);Vatican City;;41.90211547304673, 12.453810102762482;
;;;;Venezuela;Caracas;;10.483215586831626, -66.9199028578562;
;;;;Vietnam;Hanoi;;21.04852204082029, 105.80087216354276;
;;;;Yemen;Sana'a;;15.377704340425343, 44.19547666180195;
;;;;Zambia;Lusaka;;-15.392144554891784, 28.3294154060748;
;;;;Zimbabwe;Harare;;-17.76273959666481, 31.011076933106562;
;;;;HOW MANY COUNTRIES?;;;;
;;;;COUNTRIES OF THE WORLD;;;;
;;;;COUNTRIES BY CONTINENT;;;;
;;;;COUNTRIES OF EUROPE;;;;
;;;;COUNTRIES OF ASIA;;;;
;;;;COUNTRIES OF AFRICA;;;;
;;;;COUNTRIES OF NORTH AMERICA;;;;
;;;;COUNTRIES OF SOUTH AMERICA;;;;
;;;;COUNTRIES OF AUSTRALIA AND OCEANIA;;;;
;;;;UNION OF COUNTRIES;;;;
;;;;EUROPEAN UNION COUNTRIES;;;;
;;;;WORLD STATISTICS;;;;
;;;;WORLD'S LARGEST COUNTRIES;;;;
;;;;WORLD'S SMALLEST COUNTRIES;;;;
;;;;MOST POPULOUS COUNTRIES;;;;
;;;;WORLD'S RICHEST COUNTRIES;;;;
;;;;MOST TRADED CURRENCIES;;;;
;;;;GLOBAL EDUCATION;;;;
;;;;WORLD'S TOP UNIVERSITIES;;;;
;;;;BEST US ONLINE COLLEGES;;;;
;;;;FREE ONLINE COURSES;;;;
